,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
34951,R3VW26T2RR3U9S,1,2,35,N,Y
35412,R2RWPTHMMV24GK,2,20,21,N,Y
36396,R3QNVRKNLZEL60,2,20,21,N,Y
36751,R3A3RBUZ2YUVS6,1,1,20,N,Y
36941,R1RMWQBEJN3MDL,1,2,36,N,N
37526,R1H7F21NMG8ND8,5,29,33,N,Y
37531,RX3X69L84VA3Q,5,16,21,N,Y
38043,RWUSR8JV8MBE4,1,15,23,N,N
38351,R3C4UTFSFXLE45,5,109,123,N,Y
38405,R178OJM4NZTMLR,1,11,88,N,N
38619,R9MH9SCGDRCTX,5,32,32,N,N
38956,R111QVMRRXZMI8,3,27,32,N,N
39028,R2T35TKO9V9QNZ,3,21,22,N,Y
39218,R29IFRALO31U41,4,25,27,N,N
39260,R18IBPW8CCON9Q,5,34,34,N,Y
39268,R14KTQUTB3QZ2K,4,21,24,N,N
39401,R103FQRJUVENM9,1,10,46,N,Y
39641,RF3VO5DR5OJ4W,1,17,22,N,Y
39647,R2SC5P4SK0V3VL,1,20,24,N,N
39673,R2NLVF5B70W5AI,1,4,20,N,N
39722,R2Q7BJ1W51JU4X,1,0,30,N,Y
39858,R2BF3672BZ6NOR,1,5,45,N,N
39993,R3BAVHUG50DC31,5,20,22,N,Y
40044,RUHNI9A98GIYT,1,89,120,N,Y
40110,R12R7JQPAXY2OV,1,3,24,N,N
40340,R1RGBXGRJL84GI,5,45,50,N,Y
40429,RU4MT43D4XJ06,1,19,21,N,Y
40473,R2EANE5IRM0A6Y,5,100,103,N,Y
40640,R1RM9GGC9NEEQZ,5,20,21,N,Y
40889,RRVQUI6PWA402,4,41,46,N,N
40933,R23KN9SYCCLDZQ,4,37,42,N,Y
40979,RP13PM19Y0TCW,2,31,31,N,Y
41156,R1TP5UR35O7IRT,1,2,23,N,Y
41217,R2XLHR2NF0B6VE,1,17,37,N,N
41247,R2GEXAYOFSDJB6,5,19,23,N,N
41286,R36911DMWIP1TL,1,12,22,N,Y
41302,R12Y2M8INL5KGU,1,1,20,N,Y
41368,R3NBPT9HJRSB09,1,0,25,N,Y
41385,R2ZW609OT8M0LN,1,5,35,N,Y
41612,R39BR6FKM1BKJB,1,0,20,N,Y
41650,R1YCVSY2T31EO6,1,86,101,N,Y
41906,RYKUBKJ3PKH90,1,30,30,N,Y
42223,R9S1NR32J70B0,1,5,34,N,N
42350,RJHJOQCG4210M,1,24,27,N,Y
42643,RVT5005ZDBMKC,1,42,50,N,Y
42822,R1VQFWOAOSGDYX,5,29,33,N,N
43269,R23T4UV9BI2LU8,1,1,34,N,Y
43347,R334RAKCF3LNPE,1,6,31,N,N
43570,R1OBABUP8IJXWO,5,19,23,N,N
43638,R33IUY7AZ72YXI,5,23,27,N,Y
43669,R29VMUGW05DI8F,5,142,185,N,N
43687,R3PCR9NSWULAET,5,14,24,N,N
43716,R7GXERPW23GYF,5,13,22,N,N
43723,R3PB3OGET6UQ3T,5,19,42,N,N
43729,R15K2TFZS5WZ1E,5,148,193,N,N
43751,R2S2UMUWYQ5QXR,1,9,210,N,N
43764,R9JNH78ZRUD9R,5,44,53,N,N
43766,R11KCHXLGO0KK3,1,7,26,N,N
44022,RMZ6HB29TIUKS,1,4,283,N,N
44062,R2XW1MQ8QX5KDP,5,6,22,N,N
44069,R189RX02EUUEI8,3,3,36,N,N
44225,R36L3VBHTOT99I,5,2,27,N,N
44245,R8QZ32YAF124V,5,3,28,N,N
44261,R2OYJMSDUPYU7O,5,24,38,N,N
44271,R23I34SQ4TW1F2,5,112,148,N,N
44323,R4Q83NZGW79NO,1,50,59,N,Y
44390,R3UQFY9D787MBF,5,15,25,N,N
44510,R35E79HWZW0EEM,1,6,312,N,N
44572,RIH44MIKJB5S3,5,9,27,N,N
44636,R3PCZZC2WI7DIS,5,31,37,N,N
44715,R2I7S7DCBCBZBH,5,4,21,N,N
44719,R1N1YR7XNB54BF,5,20,20,N,Y
45059,R1FB1X19DAZF8X,5,19,20,N,Y
45480,R1F27ICUO2SHCD,1,53,66,N,N
45518,RO1PV29P9TRQM,1,23,31,N,Y
45572,R1CGCE0QGD35H5,1,1,25,N,N
45686,R2G8UKUJZEL4EB,5,19,20,N,Y
45702,RYWFPV0UJOFJJ,5,28,32,N,N
45721,R3ALRJCRM3B3KQ,5,23,26,N,Y
45771,R2T45OQS0NP24Z,1,0,42,N,Y
45999,RUGQ31TDGPBSO,5,20,21,N,Y
46122,R2SSU7RT61AYK2,4,87,98,N,Y
46173,RCX7J1T044ZM8,4,60,66,N,Y
46879,R3NK7I27QWCKXX,5,42,48,N,Y
47013,RN94J7JAKN8UG,1,0,32,N,N
47150,R1Y33U7MO1B9U,1,11,111,N,N
47556,R3HRK1BI3FGQRL,1,37,42,N,N
47855,R2PX8D42FMB3JB,1,20,22,N,Y
47885,R11ILTXIZ4KEXL,1,3,127,N,N
48039,R1YI3NPB83T6TK,5,21,21,N,Y
48060,R18Q2VPG20CJON,1,41,46,N,N
48174,R2MX60ZA4GTBFO,1,7,21,N,N
48385,R3KWDZWEK6V8Z1,1,6,167,N,N
48526,R1BJ5BMRY7I6RK,1,56,61,N,Y
48546,R1OYO9RRI70YTG,1,4,119,N,Y
48654,R31TEB8MJ6FZHA,2,3,64,N,N
48869,R1YEFINKPVK7RL,4,16,22,N,N
49256,R1435ZOMFHAUP5,5,32,39,N,Y
49275,R2L36CFFOCDW1F,1,0,26,N,Y
49431,R3KPQEXFQKAI09,2,25,29,N,Y
49469,R3OR8L51RFDEP4,1,59,82,N,N
49517,R1R95O2WWFUESX,1,0,26,N,Y
49609,R3FP0B8J0SAAEY,5,4,22,N,Y
49811,R3SJAQ0B336YKZ,5,21,21,N,Y
50011,R2RVBJUIFIF353,1,22,22,N,N
50082,R2KBJ86PKTLAPP,5,18,25,N,Y
50479,R26Q7L4FI2L0R0,1,43,47,N,Y
50636,R2FDX5L1I5UZXM,1,2,22,N,Y
50755,R3DA6DOGUSZMQH,5,28,31,N,Y
50757,R11EW00NPPWZT5,5,49,74,N,N
50934,R10INAVCBFJZ4,3,25,26,N,Y
50994,R1WL8X9ONWLQL7,5,27,29,N,Y
51156,R1K29H82RB8KGO,1,3,54,N,Y
51162,R1KLME5EC4SI1I,1,30,34,N,Y
51409,R1XGJ3TGU22RBX,1,8,36,N,Y
51875,RDCUGAUD89SW9,1,28,37,N,Y
52246,R3736BJZF9WFXD,1,27,39,N,Y
52869,R31GZD2OG5PCXW,1,32,34,N,Y
53111,RAN4B9TG8VARN,5,21,23,N,Y
53138,REWC35C8UUWGR,1,6,23,N,N
53376,RDH9SHBC8RAHW,1,3,35,N,N
53485,R3UJB8BDLL3DFK,1,40,42,N,Y
53519,R1HHWTE277UXFS,5,283,338,N,Y
53577,R3EI0JMVNT5XO3,5,20,20,N,Y
53777,RRRHXS67TH487,5,18,24,N,N
53780,R4UL0OOP5XTVR,3,26,28,N,N
53840,R12IM35T1I3AHK,1,25,41,N,N
53841,R2Q00M7EM3AQD9,1,1,44,N,N
54390,R9QC7P6HDIYO6,2,31,31,N,Y
54676,RNTUQ9IY2HUSR,5,25,40,N,N
54751,R1DMJL459JKXYO,5,48,53,N,Y
54835,R15W8DZ57HXZ28,5,19,20,N,Y
55023,R2KYQ2N2DZXDH1,1,4,40,N,N
55180,R3228WW6LXC8DT,5,40,46,N,Y
55266,R1W8RS49DUDV74,5,1,21,N,N
55477,R2LW8EGV0YG9N4,1,2,64,N,N
55521,R1KATGWDX5TTUT,1,14,323,N,N
55554,R34YZAU9G48UTJ,1,11,39,N,N
55589,R1D6ZFYRFRZQUZ,1,5,23,N,N
55659,R3A081BC2BDJWY,1,11,48,N,N
55663,R1I799MG639AHX,1,1,58,N,N
55767,R1LM5O1J1PRXNN,2,33,40,N,Y
55844,R36275MX7D4Y91,1,2,68,N,N
56117,R2EMDAWA9CGF92,1,12,323,N,Y
56206,RHYM05EXR9O2G,5,17,35,N,N
56244,R2ODS7579STTN3,1,25,25,N,Y
56516,R27OKR8EVAMA5D,1,16,37,N,N
56601,RC3AD9PU45GAG,1,1,30,N,Y
56628,R5ML59YXY5IKT,1,4,70,N,N
56698,R8IXQ83X05LHY,1,16,81,N,N
56725,RSXG9105WKAGR,1,10,64,N,N
56797,RTPT6GGLZSELM,5,26,36,N,N
56821,R2DUWBCB65Z4S6,1,6,66,N,N
56883,RUNZEGY15BU4B,5,30,35,N,Y
56893,R1OCT8UTW2ETVP,5,28,44,N,N
57099,RPVLE3FIQG5L8,1,8,35,N,N
57224,R3085F0DH0WQ2Q,2,105,110,N,N
57322,R2GWRLSTFKGF40,1,6,93,N,N
57351,R1Q3DXDEQ3OSNA,5,18,28,N,N
57491,R2R57J6UA82T2L,5,39,47,N,N
57494,R1Y6ZYTARUH13D,5,14,20,N,N
57838,RQ4NYV9QVM2IJ,1,0,20,N,N
58948,RPXPK9QW8UWHR,5,26,26,N,Y
59059,R3MDOZLURB8TCQ,4,24,25,N,N
59151,R2WGT4OVFUX5US,1,14,21,N,Y
59168,RW6HTUPPCPTGK,1,16,57,N,N
59370,R1YK8YNSJEWYOJ,3,0,27,N,Y
59496,R1EKU0OJFN8AB1,1,6,37,N,N
59626,R1LVT02AH34C95,1,199,221,N,N
59948,R8FTCCXCMWLYT,1,43,46,N,Y
59950,R3K26M246B1DBK,5,21,21,N,Y
60125,R356TXBYE4LV2D,4,115,143,N,N
60189,RQS96J48DAIZG,1,18,28,N,N
60220,RXHQCPUJEBGNJ,5,20,24,N,Y
60282,R3H5XBBDGMFOL0,5,26,35,N,Y
61135,R18G08UUJXWJOU,1,1,24,N,N
61560,R3S5ADJ916DKTO,5,26,29,N,Y
61618,R886C1K2K1LNL,1,21,24,N,Y
61643,R7UQ7ME8NFJMX,1,0,20,N,N
61698,R29PVCCUKSAG7M,1,40,40,N,Y
62140,R38EVNXO73AUGO,5,21,22,N,Y
62553,R2YECFXEN2OKDM,1,39,54,N,Y
62679,R3ET75KMNJT2TM,5,23,23,N,Y
62978,R39XRLN68OVO1T,2,22,28,N,N
63029,R11UUBU7JEIYCJ,1,16,22,N,N
63199,R3C2QAGDAVT3BZ,1,22,27,N,Y
63344,R2D2XIRBRHU0BV,1,1,47,N,N
63353,R35DU99CE52BYO,1,0,20,N,Y
63524,R3RTGS1KTQRJWW,3,35,41,N,N
63835,R1JG73JTZYCMYU,5,62,66,N,Y
63890,R3AB0GEESD4LTA,1,34,46,N,Y
64010,R16DK605P69DHO,5,87,98,N,Y
64639,R3OQO0JJGRR6IE,1,1,20,N,Y
64975,R3PQAMDDMVEA12,1,12,23,N,Y
65028,R2JO54EFXYZGO9,1,1,21,N,Y
65158,R132E84VXM40E2,1,14,51,N,N
65214,R2YE3ZKM39SNA7,1,7,38,N,N
65707,R3CBWUV168DQCN,5,27,29,N,Y
65871,R1PUVR0UB847N9,1,87,109,N,Y
66161,R1A61AWO67YTG9,5,83,88,N,Y
66624,R3FO6Y3UIULQY3,1,0,26,N,Y
66947,R1LZGGNT5U530L,5,21,22,N,Y
67035,R24F9DDHFF8HPP,1,1,54,N,N
67517,R2KYHUZRBZUI5Y,1,8,23,N,N
67713,RYEX6B5DJSV6T,1,2,24,N,Y
67926,R2I7JGWRHYXVG9,1,4,52,N,Y
68117,R1RXZXSWUD8P77,1,6,20,N,Y
68134,R3J0HZ0OKIXH5Q,2,21,30,N,N
68152,R9N72U34I35G0,1,3,31,N,N
68201,R36I9AKSUBYA9C,4,20,25,N,Y
68411,RQQZFZX6QU9ID,1,40,41,N,Y
68482,RY5DO7YXPBWFF,1,2,21,N,Y
68925,R2KFNWH0HM5MQ2,3,16,23,N,N
69025,R2I9PPU8QCQK40,5,22,24,N,Y
69048,R3G3KOBWGUNJ6W,1,47,49,N,Y
69221,RPA7HWGG6B6QX,3,21,24,N,Y
69223,R1D9YKHFVJNQM1,1,20,59,N,N
69608,R4UP60DRN22EC,4,34,42,N,N
69680,RM4KSGEOR7MU1,5,19,24,Y,N
69702,R1MEASIPZYEBWK,1,1,48,N,Y
69796,RABV7PGL4QG78,5,24,29,N,Y
69870,R12QDP42WSHWVM,1,1,89,N,N
70864,R27ICTLXQQJ3DL,4,24,33,N,Y
70918,R8YMPUZZEGYDE,5,35,40,N,Y
71122,R3672PFXSV1YDS,1,12,32,N,Y
71234,R2U68I98KD796O,1,2,49,N,Y
71268,R26OQY0D8FB0TN,1,16,20,N,Y
71443,R1ZWR3D7RB1FXN,5,21,26,N,Y
71548,R8PO4A147BEY6,1,2,25,N,Y
71884,R2D5UZBYWF1C6M,1,50,67,N,Y
72018,R3KMX9UZK442XI,1,42,42,N,Y
72132,R3I434MTQAZI57,1,0,34,N,Y
72363,R2P4OES7MM70IQ,4,20,22,N,N
72409,R1FGAEV0MHQWKJ,1,8,101,N,N
72458,R118B93YIOJBNL,1,1,20,N,N
72527,R9Y2NQK2HKM1N,1,4,116,N,N
72609,R38NZU2NC9VEO0,5,19,22,N,N
72620,R27RQISJ1LQVXW,1,5,150,N,N
72680,R2X7V63JKA9Z0Y,5,23,28,N,Y
73067,RQEZ8Q9CCFK39,4,29,32,N,N
73239,R1BL5C3FUDNHQ4,1,37,44,N,N
73319,R227CU1HOM7L8L,4,29,33,N,N
73329,RA0ZRD503ZW78,1,0,99,N,N
73452,R2UFC1LSXPXDWH,4,62,65,N,N
73763,R2VLG9BR32HD5W,1,21,26,N,Y
73769,R3CU6SKJWLLNRG,5,23,26,N,Y
74010,R3GSHGV9JYRBWT,1,1,26,N,N
74082,R18VNDWL33ZIS7,5,34,41,N,N
74399,R3D7C1OW2TAE6Z,1,21,63,N,Y
74400,R1AD1D14INY86Q,1,49,65,N,Y
74464,R2NPZ79NDZ87XO,1,1,31,N,N
74481,R2VC4MYRA1JZC1,5,23,27,N,Y
74512,R30Z5VG3VC0L3S,2,2,36,N,Y
74541,R33AKBEB645OK5,5,32,36,N,Y
74740,R21UI5YVBPJ69U,5,47,49,N,Y
74926,R3UH3ODH0OWVM9,1,3,36,N,Y
74975,R2CKIUJTE5H5P,3,18,25,N,N
75220,ROYMV4RNUKPLJ,1,28,32,N,N
75277,R3UP9NCJQK49E5,1,20,32,N,N
75361,R2DDCDA8FB3AL3,1,2,36,N,Y
75401,R2E05P3BL293K,2,23,32,N,Y
